,long,lat,survivors,direction,group,width_coeff,label_long,label_lat,rotation
0,24,54.9,340000,A,1,1,24.25,54.95,-5
1,24.5,55,340000,A,1,1,25,54.75,2
2,25.5,54.5,340000,A,1,1,25.75,54.6,-2.5
3,26,54.7,320000,A,1,0.941176471,26.5,54.75,-10
4,27,54.8,300000,A,1,0.882352941,27.5,54.85,-10
5,28,54.9,280000,A,1,0.823529412,28.25,54.95,-5
6,28.5,55,240000,A,1,0.705882353,28.75,55.05,-5
7,29,55.1,210000,A,1,0.617647059,29.5,55.15,-10
8,30,55.2,180000,A,1,0.529411765,30.15,55.25,-3
9,30.3,55.3,175000,A,1,0.514705882,31.15,55.05,3.4
10,32,54.8,145000,A,1,0.426470588,32.6,54.85,-12
11,33.2,54.9,140000,A,1,0.411764706,33.8,55.2,-2
12,34.4,55.5,127100,A,1,0.373823529,34.95,55.45,11
13,35.5,55.4,100000,A,1,0.294117647,35.75,55.45,-5
14,36,55.5,100000,A,1,0.294117647,36.8,55.65,-5.333333333
15,37.6,55.8,100000,A,1,0.294117647,37.65,55.75,1
16,37.7,55.7,100000,R,1,0.294117647,37.6,55.7,0
17,37.5,55.7,98000,R,1,0.288235294,37.25,55.35,-0.714285714
18,37,55,97000,R,1,0.285294118,36.9,55,0
19,36.8,55,96000,R,1,0.282352941,36.1,55.15,4.666666667
20,35.4,55.3,87000,R,1,0.255882353,34.85,55.25,-11
21,34.3,55.2,55000,R,1,0.161764706,33.8,55,-2.5
22,33.3,54.8,37000,R,1,0.108823529,32.65,54.7,-6.5
23,32,54.6,24000,R,1,0.070588235,31.2,54.5,-8
24,30.4,54.4,20000,R,1,0.058823529,29.8,54.35,-12
25,29.2,54.3,20000,R,1,0.058823529,28.85,54.25,-7
26,28.5,54.2,20000,R,1,0.058823529,28.4,54.25,2
27,28.3,54.3,20000,R,1,0.058823529,27.9,54.4,4
28,27.5,54.5,20000,R,1,0.058823529,27.15,54.4,-3.5
29,26.8,54.3,12000,R,1,0.035294118,26.6,54.35,4
30,26.4,54.4,14000,R,1,0.041176471,25.7,54.4,0
31,25,54.4,8000,R,1,0.023529412,24.7,54.4,0
32,24.4,54.4,4000,R,1,0.011764706,24.3,54.4,0
33,24.2,54.4,4000,R,1,0.011764706,24.15,54.4,0
34,24.1,54.4,4000,R,1,0.011764706,24.05,54.75,0.142857143
35,24,55.1,60000,A,2,0.176470588,24.25,55.15,-5
36,24.5,55.2,60000,A,2,0.176470588,25,54.95,2
37,25.5,54.7,60000,A,2,0.176470588,26.05,55.2,-1.1
38,26.6,55.7,40000,A,2,0.117647059,27,55.65,8
39,27.4,55.6,33000,A,2,0.097058824,28.05,55.55,13
40,28.7,55.5,33000,A,2,0.097058824,28.7,55.5,0
41,28.7,55.5,33000,R,2,0.097058824,28.95,54.85,0.384615385
42,29.2,54.2,30000,R,2,0.088235294,28.85,54.15,-7
43,28.5,54.1,30000,R,2,0.088235294,28.4,54.15,2
44,28.3,54.2,28000,R,2,0.082352941,26.15,54.7,4.3
45,24,55.2,22000,A,3,0.064705882,24.25,55.25,-5
46,24.5,55.3,22000,A,3,0.064705882,24.55,55.55,-0.2
47,24.6,55.8,6000,A,3,0.017647059,24.6,55.8,0
48,24.6,55.8,6000,R,3,0.017647059,24.4,55.1,0
49,24.2,54.4,6000,R,3,0.017647059,24.15,54.4,0
50,24.1,54.4,6000,R,3,0.017647059,12.05,27.2,-0.443014706
