bible,partners,count,
(1) WORD OF GOD,0,86,
(2) INSPIRED WORD,0,97,
(3) BOOK OF FABLES,0,18,
(4) OTHER,0,1,
(1) WORD OF GOD,1,201,
(2) INSPIRED WORD,1,349,
(3) BOOK OF FABLES,1,104,
(4) OTHER,1,7,
(1) WORD OF GOD,2,20,
(2) INSPIRED WORD,2,21,
(3) BOOK OF FABLES,2,11,
(1) WORD OF GOD,3,4,
(2) INSPIRED WORD,3,9,
(3) BOOK OF FABLES,3,8,
(1) WORD OF GOD,4,4,
(2) INSPIRED WORD,4,11,
(3) BOOK OF FABLES,4,4,
(1) WORD OF GOD,5-10,3,
(2) INSPIRED WORD,5-10,5,
(3) BOOK OF FABLES,5-10,5,
(1) WORD OF GOD,11-20,1,
(3) BOOK OF FABLES,11-20,2,
(1) WORD OF GOD,21-100,1,
